pair,skipped,skip_reason,n_full,n_margin,effect_full,effect_margin,pair_shift,sign_flip,above_floor,verdict,verdict_short
Claude Opus 4 — Thinking lift,False,,1055,464,0.08056872037914692,0.15948275862068967,0.07891403824154275,False,False,SUBORDINATE-TO-SHIFT,below m_b
Claude Sonnet 4 — Thinking lift,False,,1055,464,0.0909952606635071,0.20043103448275862,0.10943577381925151,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking vs Exp,False,,880,398,0.05568181818181818,0.10301507537688442,0.047333257195066245,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-01-21 vs Exp,False,,1055,464,0.13933649289099526,0.25862068965517243,0.11928419676417717,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-12-19 vs Exp,False,,1055,464,0.14691943127962084,0.2801724137931034,0.13325298251348258,False,True,ROBUST,robust
O1 — High vs Low effort,False,,880,398,0.07272727272727272,0.12060301507537688,0.047875742348104156,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Med effort,False,,880,398,0.048863636363636366,0.06281407035175879,0.013950433988122422,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Low effort,False,,1055,464,0.07109004739336493,0.10560344827586207,0.034513400882497144,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Med effort,False,,1055,464,0.023696682464454975,0.023706896551724137,1.0214087269162092e-05,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Low effort,False,,1055,464,0.0985781990521327,0.08405172413793104,0.01452647491420167,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Medium effort,False,,1055,464,0.02843601895734597,-0.004310344827586207,0.032746363784932175,True,False,SUBORDINATE-TO-SHIFT,below m_b
DeepSeek R1-0528 vs V3 base,False,,1055,464,0.34881516587677724,0.5668103448275862,0.21799517895080894,False,True,ROBUST,robust
QwQ-32B-Preview vs Qwen2.5-Ins-32B,False,,713,328,0.16830294530154277,0.3079268292682927,0.1396238839667499,False,True,ROBUST,robust
