pair,skipped,skip_reason,n_full,n_margin,effect_full,effect_margin,pair_shift,sign_flip,above_floor,verdict,verdict_short
Claude Opus 4 — Thinking lift,False,,1055,304,0.08056872037914692,0.17763157894736842,0.0970628585682215,False,False,SUBORDINATE-TO-SHIFT,below m_b
Claude Sonnet 4 — Thinking lift,False,,1055,304,0.0909952606635071,0.24342105263157895,0.15242579196807185,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking vs Exp,False,,880,264,0.05568181818181818,0.09848484848484848,0.0428030303030303,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-01-21 vs Exp,False,,1055,304,0.13933649289099526,0.2730263157894737,0.13368982289847842,False,False,SUBORDINATE-TO-SHIFT,below m_b
Gemini Flash 2.0 — Thinking-12-19 vs Exp,False,,1055,304,0.14691943127962084,0.3059210526315789,0.15900162135195808,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Low effort,False,,880,264,0.07272727272727272,0.11742424242424243,0.04469696969696971,False,False,SUBORDINATE-TO-SHIFT,below m_b
O1 — High vs Med effort,False,,880,264,0.048863636363636366,0.07196969696969698,0.02310606060606061,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Low effort,False,,1055,304,0.07109004739336493,0.09539473684210527,0.02430468944874034,False,False,SUBORDINATE-TO-SHIFT,below m_b
O3-Mini — High vs Med effort,False,,1055,304,0.023696682464454975,-0.006578947368421052,0.030275629832876027,True,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Low effort,False,,1055,304,0.0985781990521327,0.06907894736842106,0.029499251683711647,False,False,SUBORDINATE-TO-SHIFT,below m_b
O4-Mini — High vs Medium effort,False,,1055,304,0.02843601895734597,-0.023026315789473683,0.05146233474681965,True,False,SUBORDINATE-TO-SHIFT,below m_b
DeepSeek R1-0528 vs V3 base,False,,1055,304,0.34881516587677724,0.6151315789473685,0.26631641307059123,False,True,ROBUST,robust
QwQ-32B-Preview vs Qwen2.5-Ins-32B,False,,713,222,0.16830294530154277,0.3063063063063063,0.13800336100476351,False,False,SUBORDINATE-TO-SHIFT,below m_b
