benchmark,a,b,n_full,n_margin,effect_full,effect_margin,abs_delta,sign_flip,scaffold_a,scaffold_b,yearmonth_a,yearmonth_b,scaffold_stratum,temporal_stratum
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Opus 4.1 (August 2025)),45,14,-0.4,-0.7857142857142857,0.3857142857142857,False,CORE-Agent,CORE-Agent,2025-10,2025-08,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Opus 4.1 High (August 2025)),45,14,-0.3111111111111111,-0.7142857142857143,0.4031746031746032,False,CORE-Agent,CORE-Agent,2025-10,2025-08,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Sonnet 4 (May 2025)),45,14,-0.17777777777777778,-0.5,0.3222222222222222,False,CORE-Agent,CORE-Agent,2025-10,2025-05,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Sonnet 4 High (May 2025)),45,14,-0.2222222222222222,-0.7857142857142857,0.5634920634920635,False,CORE-Agent,CORE-Agent,2025-10,2025-05,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Sonnet 4.5 (September 2025)),45,14,-0.26666666666666666,-0.42857142857142855,0.16190476190476188,False,CORE-Agent,CORE-Agent,2025-10,2025-09,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude Sonnet 4.5 High (September 2025)),45,14,-0.3333333333333333,-0.6428571428571429,0.3095238095238096,False,CORE-Agent,CORE-Agent,2025-10,2025-09,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude-3.7 Sonnet (February 2025)),45,14,-0.24444444444444444,-0.6428571428571429,0.39841269841269844,False,CORE-Agent,CORE-Agent,2025-10,2025-02,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (Claude-3.7 Sonnet High (February 2025)),45,14,-0.13333333333333333,-0.42857142857142855,0.2952380952380952,False,CORE-Agent,CORE-Agent,2025-10,2025-02,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (DeepSeek R1 (January 2025)),45,14,0.08888888888888889,0.07142857142857142,0.017460317460317468,False,CORE-Agent,CORE-Agent,2025-10,2025-01,intra-scaffold,inter-month
corebench_hard,CORE-Agent (Claude Haiku 4.5 (October 2025)),CORE-Agent (DeepSeek V3 (March 2025)),45,14,-0.06666666666666667,-0.42857142857142855,0.3619047619047619,False,CORE-Agent,CORE-Agent,2025-10,2025-03,intra-scaffold,inter-month
